brand,category,img,name,offer,price,stock,unit1,unit2,unitXBox
PALMEROLA,ACEITE,,ACEITE PALMEROLA 1 LT,TRUE,5,5,UNIDAD,CAJA,12
PALMEROLA,ACEITE,,ACEITE PALMEROLA 500 ML,TRUE,,6,UNIDAD,CAJA,12
PURASELVA,ACEITE,,ACEITE PURASELVA 1 LT,TRUE,,7,UNIDAD,CAJA,12
REY MONO,LICOR,,ANIZADO,TRUE,,8,UNIDAD,CAJA,12
DELISUYO,CONSERVAS DE POLLO,,CONSERVA DE POLLO EN AGUA Y SAL,TRUE,,9,UNIDAD,CAJA,24
NEVIAL,LIMPIEZA,,DETERGENTE NEVIAL,TRUE,,10,UNIDAD,SACO,60
A-1,CONSERVAS DE PESCADO,,FILETE DE ATUN A-1 EN ACEITE VEGETAL,TRUE,3.5,11,UNIDAD,CAJA,48
PRIMOR,CONSERVAS DE PESCADO,,FILETE DE ATUN PRIMOR EN ACEITE VEGETAL,TRUE,3.5,12,UNIDAD,CAJA,48
ROSAIMAR,CONSERVAS DE PESCADO,,FILETE DE ATUN ROSAIMAR EN ACEITE VEGETAL,TRUE,2.5,13,UNIDAD,CAJA,48
DELIMAR,CONSERVAS DE PESCADO,,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,TRUE,,,UNIDAD,CAJA,48
FANNY,CONSERVAS DE PESCADO,,FILETE DE CABALLA FANNY EN ACEITE VEGETAL,TRUE,2,14,UNIDAD,CAJA,48
LYDEMAR,CONSERVAS DE PESCADO,,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,TRUE,2,15,UNIDAD,CAJA,48
P-RUVIAN MAR,CONSERVAS DE PESCADO,,FILETE DE CABALLA P-RUVIAN MAR EN ACEITE VEGETAL,TRUE,2,16,UNIDAD,CAJA,48
ROSAIMAR,CONSERVAS DE PESCADO,,FILETE DE CABALLA ROSAIMAR EN ACEITE VEGETAL,TRUE,2,17,UNIDAD,CAJA,48
DON LUCHO,GELATINA,,GELATINA DON LUCHO,TRUE,,18,BOLSA,SACO,200
LYDEMAR,CONSERVAS DE PESCADO,,GRATED CABALLA LYDEMAR EN AGUA Y SAL,TRUE,,19,UNIDAD,CAJA,48
DON LUCHO,CONSERVAS DE PESCADO,,GRATED DE ATUN DON LUCHO EN ACEITE VEGETAL,TRUE,,20,UNIDAD,CAJA,48
P-RUVIAN MAR,CONSERVAS DE PESCADO,,GRATED DE CABALLA P-RUVIAN EN AGUA Y SAL,TRUE,,21,UNIDAD,CAJA,48
P-RUVIAN MAR,CONSERVAS DE PESCADO,,GRATED DE CABALLA P-RUVIAN MAR EN ACEITE VEGETAL,TRUE,,,UNIDAD,CAJA,48
LYDEMAR,CONSERVAS DE PESCADO,,GRATED DE JUREL LYDEMAR EN ACEITE VEGETAL,TRUE,,22,UNIDAD,CAJA,48
LYDEMAR,CONSERVAS DE PESCADO,,GRATED DE SARDINA PREMIUM LYDEMAR EN ACEITE VEGETAL,TRUE,,23,UNIDAD,CAJA,48
LYDEMAR,CONSERVAS DE PESCADO,,GRATED DE SARDINAS LYDEMAR EN AGUA Y SAL,TRUE,,24,UNIDAD,CAJA,48
ROSAIMAR,CONSERVAS DE PESCADO,,GRATED DE SARDINAS ROSAIMAR EN ACEITE VEGETAL,TRUE,,25,UNIDAD,CAJA,48
LESLI,LIMPIEZA,,LAVAVAJILLA LESLI,TRUE,,27,UNIDAD,CAJA,12
ÑAPANCHA,LIMPIEZA,,LAVAVAJILLA ÑAPANCHA,TRUE,,26,UNIDAD,CAJA,12
LYDEMAR,LIMPIEZA,,LEJIA LYDEMAR,TRUE,,28,UNIDAD,SACO,100
SHIROI,LIMPIEZA,,LEJIA SHIROI,TRUE,,29,UNIDAD,SACO,400
SHIROI,LIMPIEZA,,LIMPIATODO SHIROI 300 GR,TRUE,,30,UNIDAD,CAJA,15
SHIROI,LIMPIEZA,,LIMPIATODO SHIROI 900 GR,TRUE,,31,UNIDAD,CAJA,12
DON LUCHO,MAZAMORRA,,MAZAMORRA MORADA DON LUCHO,TRUE,,32,BOLSA,SACO,200
LYDEMAR,CONSERVAS DE PESCADO,,OVAL  LYDEMAR  DE SARDINAS PERUANAS EN SALSA DE TOMATE ,TRUE,,58,UNIDAD,CAJA,24
