quantity,unitMax,sendToAdministrator,price,totalPrice,date,optionUnit,unit,customer,unitIndividual,pricePerUnit,idProductList,productName,dateRegister
6,,True,26,6.9,2024-10-16,"['UNIDAD', 'CAJA']",0,,24,1.1500000000000001,dhd9JHBMgMwValLqmyey,LAVAVAJILLA QMASTER 180 GR,2024-10-16 18:09:29.856000+00:00
6,,True,1,17.5,2024-02-02,"['UNIDAD', 'CAJA']",0,,48,2.9166666666666665,ag3s0xbfQDzxahjtJuWR,FILETE DE CABALLA P-RUVIAN MAR EN ACEITE VEGETAL,2024-02-02 17:14:00.347000+00:00
6,,True,1,26.3,2024-12-06,"['UNIDAD', 'CAJA']",0,,48,4.383333333333334,dPpgsAsWwVXuDp0ufNF2,FILETE DE ATUN A-1 EN ACEITE VEGETAL,2024-12-06 16:38:05.997000+00:00
1,200,True,57,59.6,2024-08-28,"['UNIDAD', 'PAQUETE', 'SACO']",1,,20,59.6,cUu0F99S7bgXUIpvCuGB,GELATINA DON LUCHO,2024-08-28 16:52:01.697000+00:00
2,200,True,57,6.0,2024-05-05,"['UNIDAD', 'PAQUETE', 'SACO']",0,,20,3,cUu0F99S7bgXUIpvCuGB,GELATINA DON LUCHO,2024-05-05 18:32:07.661000+00:00
6,,True,1,11.0,2024-03-05,"['UNIDAD', 'CAJA']",0,,48,1.8333333333333333,uXWDUwhTKjYeCCSm2WrN,GRATED DE SARDINA PREMIUM LYDEMAR EN ACEITE VEGETAL,2024-03-05 17:10:24.630000+00:00
2,,True,1,5.0,2024-01-22,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-01-22 17:22:29.297000+00:00
9,,True,1,116.2,2024-05-10,"['UNIDAD', 'CAJA']",0,,12,12.911111111111111,wfY8rXvZsEu5bv7mPwZ4,VINO DE CEREZA,2024-05-10 15:31:57.728000+00:00
12,,True,39,8.0,2024-07-13,"['UNIDAD', 'SACO', '']",0,,60,0.6666666666666666,mB1SicUI6RwVMHp9dfKd,DETERGENTE TROME,2024-07-13 16:37:02.385000+00:00
2,,True,1,4.0,2024-09-13,"['UNIDAD', 'CAJA']",0,,12,2,iC2Zoyizbl2WaNYrD5KX,LEJIA QMASTER 1 LT,2024-09-13 17:05:28.483000+00:00
1,,True,112,2.0,2024-08-06,"['CAJITA', 'CAJON ( 60 cajitas)', '']",0,,60,2,YAyG585nLwF3Kpm6l9Zo,ESPIRAL GALLITO,2024-08-06 18:38:30.257000+00:00
3,,True,112,5.5,2024-10-10,"['CAJITA', 'CAJON ( 60 cajitas)', '']",0,,60,1.8333333333333333,YAyG585nLwF3Kpm6l9Zo,ESPIRAL GALLITO,2024-10-10 16:45:43.875000+00:00
6,,True,1,16.5,2024-10-13,"['UNIDAD', 'CAJA']",0,,48,2.75,WC4rVBbz9h0DHvCj9p4h,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-10-13 16:15:10.531000+00:00
3,,True,1,13.5,2024-05-02,"['UNIDAD', 'CAJA']",0,,48,4.5,dPpgsAsWwVXuDp0ufNF2,FILETE DE ATUN A-1 EN ACEITE VEGETAL,2024-05-02 17:06:15.384000+00:00
8,,True,1,20.0,2024-09-10,"['UNIDAD', 'CAJA']",0,,48,2.5,NFBKbTODCUZh1VarxViN,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-09-10 16:44:01.225000+00:00
1,100,True,6,5.5,2024-06-14,"['UNIDAD', 'BOLSA', 'PLANCHA']",1,,25,5.5,QzwdwAKrlRDJ8tsfqpqX,LEJIA LYDEMAR,2024-06-14 17:00:16.867000+00:00
2,,True,1,114.0,2024-07-06,"['UNIDAD', 'CAJA']",1,,12,57,GEn8mJ8Bgyju2PLBA0PA,ACEITE PURASELVA 1 LT,2024-07-06 16:45:29.072000+00:00
25,,True,1,6.0,2024-02-05,"['UNIDAD', 'SACO']",0,,100,0.24,QzwdwAKrlRDJ8tsfqpqX,LEJIA LYDEMAR,2024-02-05 17:16:11.056000+00:00
6,,True,1,28.5,2024-08-09,"['UNIDAD', 'CAJA']",0,,48,4.75,iUF72hMAXERo8T34yN5o,FILETE DE ATUN PRIMOR EN ACEITE VEGETAL,2024-08-09 17:16:30.875000+00:00
8,,True,1,38.4,2024-10-02,"['UNIDAD', 'PAQUETE']",0,,12,4.8,vNV3LxLHfWO8G1wlQnqN,ACEITE PALMEROLA CON TAPA 900 ML,2024-10-02 17:13:03.525000+00:00
6,,True,0,11.5,2023-11-11,"['UNIDAD', 'CAJA']",0,,48,1.9166666666666667,RoDirWKFuXpfhSUdyHCR,TINAPON P-RUVIAN MAR EN SALSA DE TOMATE,2023-11-11 17:15:14.322000+00:00
3,,True,12,2.9,2024-12-03,"['UNIDAD', 'DOCENA', '']",0,,12,0.9666666666666667,sCXNpRWrnzKW0XV6TNR8,HISOPOS 100 UNIDADES,2024-12-03 17:31:23.047000+00:00
1,,True,37,18.0,2024-04-08,"['UNIDAD', 'CAJA', '']",1,,24,18,6PzxjO6sJIkq5OZXTDT3, ACEITE PALMEROLA SACHET 75 ML (CAJA),2024-04-08 17:20:32.540000+00:00
12,,True,1,34.0,2024-06-16,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,WC4rVBbz9h0DHvCj9p4h,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-06-16 15:11:30.064000+00:00
6,,True,1,15.0,2023-12-08,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2023-12-08 17:21:00.790000+00:00
6,,True,1,11.5,2023-12-20,"['UNIDAD', 'CAJA']",0,,48,1.9166666666666667,RoDirWKFuXpfhSUdyHCR,TINAPON P-RUVIAN MAR EN SALSA DE TOMATE,2023-12-20 17:33:21.835000+00:00
5,,True,5,27.5,2024-11-14,"['UNIDAD', 'PAQUETE']",0,,12,5.5,Xh04vcSdJDeATI8jxatQ,ACEITE PALMEROLA SIN TAPA 900 ml,2024-11-14 16:30:12+00:00
2,,True,1,10.0,2024-03-15,"['UNIDAD', 'CAJA']",0,,12,5,2fLvFhKOJWmv6IyiLsgs,ACEITE PURASELVA 1 LT,2024-03-15 17:09:56.543000+00:00
1,200,True,57,3.0,2024-11-10,"['UNIDAD', 'PAQUETE', 'SACO']",0,,20,3,cUu0F99S7bgXUIpvCuGB,GELATINA DON LUCHO,2024-11-10 17:45:09.217000+00:00
6,,True,1,30.0,2024-02-03,"['UNIDAD', 'CAJA']",0,,48,5,iUF72hMAXERo8T34yN5o,FILETE DE ATUN PRIMOR EN ACEITE VEGETAL,2024-02-03 16:38:17.647000+00:00
12,,True,32,16.0,2024-03-16,"['UNIDAD', 'CAJA', '']",0,,24,1.3333333333333333,7AFu3sTplsI9rGy1CQXs,ACEITE TONDERO SACHET 170 ML (CAJA),2024-03-16 17:07:56.875000+00:00
6,,True,1,10.5,2024-05-15,"['UNIDAD', 'CAJA']",0,,50,1.75,HltRTZAhE0MUeJdafjMp,TINAPA LYDEMAR EN SALSA DE TOMATE,2024-05-15 17:38:59.457000+00:00
1,,True,1,4.9,2024-02-27,"['PAQUETE ( 4 rollos)', 'PLANCHA ( 6 x4)', '']",0,,1,4.9,muvfk6UiuLwBE7fK5Kdt,PAPEL HIGIENICO LIDER,2024-02-27 17:58:39.675000+00:00
12,,True,80,19.5,2024-04-09,"['UNIDAD', 'CAJA']",0,,48,1.625,ao7sEBN2Q9mBeKu2YffG,GRATED DE SARDINAS LYDEMAR EN AGUA Y SAL (ROJO),2024-04-09 18:20:16.164000+00:00
4,,True,1,10.0,2024-03-07,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-03-07 19:28:16.595000+00:00
2,,True,1,10.0,2024-03-07,"['UNIDAD', 'PAQUETE']",0,,12,5,hVBdTuxc07rj1KLOmsZm,ACEITE PALMEROLA 1 LT,2024-03-07 19:33:53.315000+00:00
3,,True,84,10.0,2024-11-03,"['UNIDAD', 'CAJA']",0,,24,3.3333333333333335,SYUQtNKXDJRrupbBone9,TOLL DE CABALLA /JUREL  P-RUVIAN MAR EN SALSA DE TOMATE,2024-11-03 16:01:20.680000+00:00
6,,True,10,4.7,2024-07-01,"['UNIDAD', '0', '']",0,,0,0.7833333333333333,Efo2k5F7zLHOPzN3w6Kh,ENJUAGE DOWNY,2024-07-01 16:39:17.390000+00:00
